model,horizon,mean_forecast,mean_forecast,variance_forecast,variance_forecast,std_forecast,std_forecast
,,mean,std,mean,max,mean,max
GARCH-t,1,0.0006840976272672098,,8.253454187929426e-05,8.253454187929426e-05,0.009084852331177116,0.009084852331177116
GARCH-t,5,0.0006840976272672098,0.0,8.156817313339582e-05,8.253454187929426e-05,0.00903143356323041,0.009084852331177116
GARCH-t,10,0.0006840976272672098,0.0,8.048188763709239e-05,8.253454187929426e-05,0.00897089951405746,0.009084852331177116
GARCH-t,20,0.0006840976272672098,0.0,7.86528039194254e-05,8.253454187929426e-05,0.008867836344229841,0.009084852331177116
GJR-GARCH-Skewed-t,1,0.000320773005910392,,9.615007223632953e-05,9.615007223632953e-05,0.009805614322230378,0.009805614322230378
GJR-GARCH-Skewed-t,5,0.000320773005910392,0.0,9.317032566513291e-05,9.615007223632953e-05,0.009651885944905065,0.009805614322230378
GJR-GARCH-Skewed-t,10,0.000320773005910392,0.0,8.987940128578967e-05,9.615007223632953e-05,0.00947837280768377,0.009805614322230378
GJR-GARCH-Skewed-t,20,0.000320773005910392,0.0,8.44891317795856e-05,9.615007223632953e-05,0.009185515504643287,0.009805614322230378
GJR-GARCH-t,1,0.0003895188130334787,,9.475551587831534e-05,9.475551587831534e-05,0.009734244494480059,0.009734244494480059
GJR-GARCH-t,5,0.0003895188130334787,0.0,9.162873347916756e-05,9.475551587831534e-05,0.009571622888327283,0.009734244494480059
GJR-GARCH-t,10,0.0003895188130334787,0.0,8.819215446453732e-05,9.475551587831534e-05,0.009388709220094141,0.009734244494480059
GJR-GARCH-t,20,0.0003895188130334787,0.0,8.260568460057176e-05,9.475551587831534e-05,0.00908178288161039,0.009734244494480059
